Mesurande_EFLM	Mesurande_XR	CVI	CVG	Cva_min	Bias_min	MAU_min	Tea_min	Cva_desirable	Bias_desirable	MAU_desirable	Tea_desirable	Cva_opt	Bias_opt	MAU_opt	Tea_opt	k(MAU)	U_souhaitable_PBQ	ISIS L1	ISIS L2	ISIS L3	OSIRIS L1	OSIRIS L2	OSIRIS L3	ANUBIS L1	ANUBIS L2	ANUBIS L3
Leukocytes	WBC(10^9/L)	11,1	16,9	8,325	7,582236642	16,65	21,31848664	5,55	5,054824428	11,1	14,21232443	2,775	2,527412214	5,55	7,106162214	2	14,8	2,24	1,58	1,14	2,25	1,58	1,14	2,02	1,5	1,13
Erythrocytes	RBC(10^12/L)	2,8	7	2,1	2,827211524	4,2	6,292211524	1,4	1,884807682	2,8	4,194807682	0,7	0,942403841	1,4	2,097403841	2	4,6	1,07	1,03	0,82	1,04	0,89	0,69	0,87	0,82	0,75
Red cell distribution wide standard deviation (RDW-SD)	RDW-CV(%)	1,7	4,3	1,275	1,733944203	2,55	3,837694203	0,85	1,155962802	1,7	2,558462802	0,425	0,577981401	0,85	1,279231401	2	2,9	1,02	0,86	0,91	1,02	0,85	0,94	1,03	0,86	0,89
Haemoglobin (Hb)	HGB(g/L)	2,7	6,1	2,025	2,501562012	4,05	5,842812012	1,35	1,667708008	2,7	3,895208008	0,675	0,833854004	1,35	1,947604004	2	4,3	0	1,07	0,77	0	1,1	0,92	0,32	1,06	0,95
Haematocrit (Hct)	HCT(%)	2,8	5,5	2,1	2,314391119	4,2	5,779391119	1,4	1,542927412	2,8	3,852927412	0,7	0,771463706	1,4	1,926463706	2	4,2	1,55	1,38	1,18	1,42	1,38	1,16	1,5	1,26	1,06
Mean corpuscular haemoglobin (MCH)	MCH(pg)	0,7	4,6	0,525	1,744858519	1,05	2,611108519	0,35	1,163239012	0,7	1,740739012	0,175	0,581619506	0,35	0,870369506	2	2,5	1,2	0,75	0,83	1,17	0,9	0,9	1,09	0,67	0,82
Mean corpuscular haemoglobin concentration (MCHC)	MCHC(g/dL)	1	1,4	0,75	0,645174395	1,5	1,882674395	0,5	0,430116263	1	1,255116263	0,25	0,215058132	0,5	0,627558132	2	1,3	1,41	1,32	1,18	1,34	1,37	1,25	1,2	1,23	1,16
Thrombocytes	PLT(10^9/L)	7,3	18,6	5,475	7,492965451	10,95	16,52671545	3,65	4,995310301	7,3	11,0178103	1,825	2,49765515	3,65	5,50890515	2	11,4	4,66	2,53	1,67	5,01	2,69	1,83	4,6	2,69	1,59
Thrombocytes	[PLT-F(10^9/L)]	7,3	18,6	5,475	7,492965451	10,95	16,52671545	3,65	4,995310301	7,3	11,0178103	1,825	2,49765515	3,65	5,50890515	2	11,4	4,66	2,53	1,67	5,01	2,69	1,83	4,6	2,69	1,59
Mean platelet volume (MPV)	MPV(fL)	2,3	7,1	1,725	2,798716224	3,45	5,644966224	1,15	1,865810816	2,3	3,763310816	0,575	0,932905408	1,15	1,881655408	2	4,4	2,12	1,55	1,58	2,44	1,55	1,55	2,51	1,57	1,32
Plateletcrit		6,4	13,5	4,8	5,602580321	9,6	13,52258032	3,2	3,735053547	6,4	9,015053547	1,6	1,867526774	3,2	4,507526774	2		0	6,42	3,07	0	5,14	2,87	9,67	6,31	3,02
Platelet distribution wide (PDW)		3,8	12,3	2,85	4,827606161	5,7	9,530106161	1,9	3,218404108	3,8	6,353404108	0,95	1,609202054	1,9	3,176702054	2		3,76	3,01	1,54	3,71	2,96	1,67	3,45	1,88	1,73
Platelet larger cell ratio (P-LCR)		6,8	20,9	5,1	8,241899432	10,2	16,65689943	3,4	5,494599621	6,8	11,10459962	1,7	2,747299811	3,4	5,552299811	2										
Reticulocytes	RET#(10^9/L)	9,7	27,1	7,275	10,79387847	14,55	22,79762847	4,85	7,195918982	9,7	15,19841898	2,425	3,597959491	4,85	7,599209491	2					2,82	3,54	4,72	2,95	3,27	4,55
Reticulocyte haemoglobin equivalent (RET-He)	RET-He(pg)	1,7	3,4	1,275	1,425493336	2,55	3,529243336	0,85	0,95032889	1,7	2,35282889	0,425	0,475164445	0,85	1,176414445	2					0,63	0,64	1,16	0,83	1,3	1,5
Mean corpuscular volume (MCV)	MCV(fL)	0,8	3,9	0,6	1,492952193	1,2	2,482952193	0,4	0,995301462	0,8	1,655301462	0,2	0,497650731	0,4	0,827650731	2	2,1	0,82	0,73	0,76	0,8	0,82	0,76	0,96	0,91	0,81
Lymphocytes	LYMPH#(10^9/L)	10,5	22,8	7,875	9,413097591	15,75	22,40684759	5,25	6,275398394	10,5	14,93789839	2,625	3,137699197	5,25	7,468949197	2		3,83	2,54	1,92	3,1	2,67	2,12	2,96	2,5	2,22
Monocytes	MONO#(10^9/L)	14	23	10,5	10,09718401	21	27,42218401	7	6,731456009	14	18,28145601	3,5	3,365728004	7	9,140728004	2		6,74	5,07	4,41	7,38	5,78	4,38	6,25	5,07	4,02
Basophils	BASO#(10^9/L)	12,6	28,6	9,45	11,71969496	18,9	27,31219496	6,3	7,813129975	12,6	18,20812997	3,15	3,906564987	6,3	9,104064987	2		5,07	4,31	2,5	5,29	4,39	3,22	6,33	4,39	3,09
Eosinophils	EO#(10^9/L)	15,1	67,4	11,325	25,90153531	22,65	44,58778531	7,55	17,2676902	15,1	29,7251902	3,775	8,633845102	7,55	14,8625951	2		8,61	8,92	9,13	9,57	8,37	8,6	8,5	8,58	7,86
Neutrophils	NEUT#(10^9/L)	12,5	25,9	9,375	10,78449408	18,75	26,25324408	6,25	7,189662718	12,5	17,50216272	3,125	3,594831359	6,25	8,751081359	2		3,58	2,64	2,3	3,54	2,69	2,35	3,57	2,63	2,4
