Code Ana;Analyte;Anonymat;Controle;Unite;Tech;App;Tri;Resultat;Effectif pairs;Cible pairs;ET pairs;Biais % pairs;Biais |c| pairs;z score pairs;Note pairs;Effectif ens;Cible ens;ET ens;Biais % ens;Biais |c| ens;z score ens;Note ens;Date;LA %;Opérateur
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT01;;G2;PG5;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;19/03/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT02;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;19/03/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT03;;G2;PG5;XX;POSITIF;;;;;;;*;;5,0;0,0;-80,0;-4,0;;TB;25/06/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT04;;G2;PG5;XX;POSITIF;;;;;;;*;;5,0;0,0;-80,0;-4,0;;TB;25/06/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT05;;G2;PG5;XX;POSITIF;;;;;;;*;;5,0;0,0;-80,0;-4,0;;TB;17/09/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT06;;G2;PG5;;NEGATIF;;;;;;;*;;2,0;0,0;0,0;0,0;;TB;17/09/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT07;;G2;PG5;XX;POSITIF;;;;;;;*;;2,0;0,0;-50,0;-1,0;;+4;29/10/2025;0,0;Célia VAURY
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT08;;G2;PG5;XX;POSITIF;;;;;;;*;;5,0;0,0;-80,0;-4,0;;TB;29/10/2025;0,0;Célia VAURY
RAU;Anti-PF4 : Ratio;1952;25HT01;U/mL;G2;PG5;XX;0,46;;;;;;;*;;;;;;;;19/03/2025;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;25HT02;U/mL;G2;PG5;XX;11,45;;;;;;;*;;;;;;;;19/03/2025;42,4;Marie BRIONNE-FRANCOIS
