Code Ana;Analyte;Anonymat;Controle;Unite;Tech;App;Tri;Resultat;Effectif pairs;Cible pairs;ET pairs;Biais % pairs;Biais |c| pairs;z score pairs;Note pairs;Effectif ens;Cible ens;ET ens;Biais % ens;Biais |c| ens;z score ens;Note ens;Date;LA %;Opérateur
CTE;Anti-PF4 : Conclusion Tests immuno. ELISA;1952;21HT01;;W2;ZPX;;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;21/07/2021;0,0;Marie BRIONNE-FRANCOIS
CTE;Anti-PF4 : Conclusion Tests immuno. ELISA;1952;21HT02;;W2;ZPX;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;21/07/2021;0,0;Marie BRIONNE-FRANCOIS
CTE;Anti-PF4 : Conclusion Tests immuno. ELISA;1952;21HT03;;W2;ZPX;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;21/07/2021;0,0;Marie BRIONNE-FRANCOIS
CTE;Anti-PF4 : Conclusion Tests immuno. ELISA;1952;23HT01;;W2;ZPX;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;22/03/2023;0,0;Marie BRIONNE-FRANCOIS
CTE;Anti-PF4 : Conclusion Tests immuno. ELISA;1952;23HT02;;W2;ZPX;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;22/03/2023;0,0;Marie BRIONNE-FRANCOIS
CTE;Anti-PF4 : Conclusion Tests immuno. ELISA;1952;23HT03;;W2;ZPX;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;22/03/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT01;;G3;PB6;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;22/03/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT02;;G3;PB6;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;22/03/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT03;;G3;PB6;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;22/03/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT04;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;28/06/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT05;;G2;PG5;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;28/06/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT06;;G2;PG5;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;20/09/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT07;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;20/09/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;23HT08;;G2;PG5;XX;NEGATIF;;;;;;;;;;;;;;;20/09/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952A;23HT09;;G2;PG5;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;22/11/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952A;23HT10;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;22/11/2023;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT04;;G2;PG5;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;19/06/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT05;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;19/06/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT06;;G2;PG5;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;18/09/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT07;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;18/09/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT08;;G2;PG5;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;18/09/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT09;;G2;PG5;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;20/11/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT10;;G2;PG5;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;20/11/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT1A;;G2;PG5;XX;POSITIF;;;0,0;-80,0;-4,0;;TB;;5,0;0,0;-80,0;-4,0;;TB;24/04/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT2A;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;24/04/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;24HT3A;;G2;PG5;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;24/04/2024;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT01;;G2;PG5;XX;NEGATIF;;NEGATIF;0,0;0,0;0,0;;TB;;2,0;0,0;0,0;0,0;;TB;19/03/2025;0,0;Marie BRIONNE-FRANCOIS
CTR;Anti-PF4 : Conclusion Tests immuno. rapides;1952;25HT02;;G2;PG5;XX;POSITIF;;POSITIF;0,0;0,0;0,0;;TB;;1,0;0,0;0,0;0,0;;TB;19/03/2025;0,0;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;23HT01;U/mL;G3;PB6;XX;0,25;;;;;;;*;;;;;;;;22/03/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;23HT04;U/mL;G2;PG5;XX;10,44;;;;;;;*;;;;;;;;28/06/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;23HT05;U/mL;G2;PG5;XX;4,14;;;;;;;*;;;;;;;;28/06/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;23HT06;U/mL;G2;PG5;XX;2,99;;;;;;;*;;;;;;;;20/09/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;23HT07;U/mL;G2;PG5;XX;8,41;;;;;;;*;;;;;;;;20/09/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;23HT08;U/mL;G2;PG5;XX;0,16;;;;;;;*;;;;;;;;20/09/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952A;23HT09;U/mL;G2;PG5;XX;0,07;;;;;;;*;;;;;;;;22/11/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952A;23HT10;U/mL;G2;PG5;XX;6,56;;;;;;;*;;;;;;;;22/11/2023;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;24HT04;U/mL;G2;PG5;XX;6,08;;;;;;;*;;;;;;;;19/06/2024;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;24HT05;U/mL;G2;PG5;XX;18,88;;;;;;;*;;;;;;;;19/06/2024;42,4;Marie BRIONNE-FRANCOIS
RAU;Anti-PF4 : Ratio;1952;24HT06;U/mL;G2;PG5;XX;3,57;7;;;;;;*;7;;;;;;;18/09/2024;42,4;Marie BRIONNE-FRANCOIS
